Water Temperature @1.6m depth ,Wind Speed (Km/h),Air Temperature (Deg C),Air Pressure (Hecta pascal),Humidity (percent)
26.5119,25.4663,25.8694,1011.5771,67.0715
26.4418,26.1222,25.9472,1010.3979,66.2208
26.6017,25.2318,26.2563,1010.45,74.9958
26.6265,31.1367,26.1521,1012.0299,71.1653
26.5386,28.3347,26.2681,1011.5972,70.5667
26.4862,26.3383,26.3528,1010.1729,72.8931
25.7494,34.6498,26.3424,1010.5799,72.3271
25.3519,36.2444,25.7458,1009.7833,77.1007
26.009,29.0671,26.5049,1010.0424,74.6667
26.2787,24.496,26.4694,1012.4813,66.8083
26.2367,28.186,26.3146,1014.2257,67.2944
26.1058,31.1172,26.2563,1013.8694,68.8056
26.0613,33.8156,26.2528,1012.6035,73.9736
26.2455,33.1548,26.025,1012.7153,74.3576
26.7474,29.0525,26.2556,1013.0903,68.9438
27.0313,19.2481,26.2771,1011.9806,69.2111
26.8713,23.4547,26.3403,1012.2757,70.0694
26.679,22.2691,26.5056,1013.5715,66.6181
26.7168,24.4612,26.4063,1014.525,69.7264
26.7259,27.4571,26.4167,1014.6368,69.9854
26.6132,28.7856,26.5667,1014.1208,69.9285
26.5714,26.2755,26.534,1014.1,70.3632
26.7378,18.2248,26.4139,1012.1438,69.3139
26.9848,17.5455,26.6,1012.2639,69.8014
27.0201,20.9818,26.7833,1012.9979,72.7167
27.0967,21.5185,26.7139,1011.6896,71.9632
27.0198,25.7102,26.7618,1011.3264,69.1569
27.0675,28.9235,26.8979,1012.3444,71.7694
27.175,29.3158,26.8132,1012.7931,68.6076
27.1071,26.615,26.7174,1012.4,69.591
27.2702,20.5821,26.7236,1011.0722,70.234
27.3722,26.0665,26.7424,1010.9375,69.7771
26.8512,31.8983,26.7583,1010.3694,71.4174
26.3478,31.979,26.85,1010.0486,70.9319
26.4525,31.4239,26.7104,1008.6132,72.15
26.3896,33.1265,26.7826,1007.2389,72.9319
26.552,38.0383,26.9451,1007.0792,73.1813
26.268,38.6718,26.8014,1006.5306,71.1806
26.2475,31.3938,26.3826,1004.4208,79.0708
26.883,24.6673,26.9236,1001.9986,80.4688
27.4862,21.0723,27.116,1002.8271,81.3569
27.961,14.9273,27.3868,1006.1278,77.2986
