"Water.Temperature..1.6m.depth" "Wind.Speed..Km.h." "Air.Temperature..Deg.C." "Air.Pressure..Hecta.pascal." "Humidity..percent."
"1" 26.6317 30.3993 26.2451 1015.8028 79.6715
"2" 23.5962 22.1399 23.0632 1015.1542 85.4333
"3" 24.4195 14.9399 22.6944 1015.4611 81.5535
"4" 26.4285 35.604 25.9222 1012.716 75.0431
"5" 21.2712 42.219 21.9507 1022.4118 71.8097
"6" 23.1383 14.5516 21.7306 1015.4583 70.1479
"7" 23.8047 25.227 23.1264 1016.8361 74.9035
"8" 22.1623 10.6052 21.6035 1022.1271 64.1389
"9" 23.759 26.777 22.4465 1013.266 56.9042
"10" 22.9002 30.0007 22.8076 1021.4347 69.1361
"11" 24.7534 15.17 23.8118 1011.5896 74.4958
"12" 22.682 20.4285 22.116 1023.3319 70.3715
"13" 28.2747 17.0894 27.3063 1005.625 76.0778
"14" 25.3453 31.2397 25.2271 1015.5854 77.7229
"15" 27.3667 9.6748 27.2951 1012.2993 76.5507
"16" 23.4163 34.3329 24.2368 1020.7326 65.8431
"17" 20.1957 26.4739 18.1882 1015.6458 38.8146
"18" 20.4893 24.1639 21.0757 1018.3535 60.4896
"19" 24.3942 16.1657 24.2465 1009.1354 75.1979
"20" 20.6283 31.9095 19.7438 1019.7535 64.8354
"21" 26.0444 12.1837 25.384 1015.6208 65.3264
"22" 26.8003 14.4506 25.4861 1011.2403 68.4965
"23" 24.1714 18.9847 22.9208 1012.691 69.9743
"24" 21.6815 32.0022 21.1618 1017.1826 74.6903
"25" 23.4113 33.7878 23.1049 1020.3847 71.2715
"26" 26.4912 13.8696 25.6951 1012.6139 72.7285
"27" 27.4862 21.0723 27.116 1002.8271 81.3569
"28" 26.7109 18.7807 25.4472 1009.9278 74.284
"29" 27.5069 23.3386 27.0083 1005.0653 75.8424
"30" 21.5163 47.368 21.2125 1020.0438 76.0896
"31" 24.6255 30.9987 23.9389 1017.4611 69.9729
"32" 26.6939 21.822 25.8076 1014.0118 69.1993
"33" 25.5215 33.3835 25.1326 1015.2819 72.1951
"34" 22.2617 15.2449 22.7611 1015.3507 67.5139
"35" 22.7465 31.0396 23.3264 1021.8778 63.6382
"36" 27.4878 31.2042 27.3979 1004.425 76.3847
"37" 25.032 33.7815 24.975 1015.0681 79.9535
"38" 26.1596 29.2058 26.0444 1011.4799 79.8319
"39" 23.9621 26.5834 23.2896 1018.6069 74.7063
"40" 26.8512 31.8983 26.7583 1010.3694 71.4174
"41" 21.2535 33.7646 20.309 1017.5271 69.4174
"42" 22.2661 17.8664 21.8021 1013.8299 65.0514
"43" 26.2367 28.186 26.3146 1014.2257 67.2944
"44" 22.8019 10.2392 22.3056 1017.6583 69.0208
"45" 23.8043 27.1941 22.0139 1014.1729 55.9326
"46" 22.8486 0 22.9146 1013.2528 84.8576
"47" 25.8065 36.1109 25.825 1016.4569 63.5667
"48" 23.4952 25.5758 22.9229 1013.3465 41.6076
"49" 21.9161 15.9441 21.7694 1017.0556 57.6889
"50" 22.587 29.2089 21.909 1020.7924 63.3229
"51" 21.6897 37.0622 21.3424 1018.1083 73.4958
"52" 25.0843 22.5543 24.1618 1016.0354 63.3972
"53" 23.9203 19.7859 23.1306 1015.5438 85.2701
"54" 21.1321 40.0655 21.7993 1023.3299 59.6375
"55" 26.5928 16.6557 25.5819 1013.4299 68.2806
"56" 21.273 13.5193 19.7278 1017.5847 49.2111
"57" 20.1517 28.5123 20.0896 1021.8236 61.775
"58" 20.2749 36.941 20.5306 1020 60.4479
"59" 27.0116 16.201 27.159 1014.1097 73.3826
"60" 26.4391 18.4088 25.7757 1006.8743 83.0424
"61" 26.9462 15.0978 26.6438 1011.8215 75.166
"62" 26.1943 41.5788 25.3861 1017.4674 65.2215
"63" 25.7343 36.8077 25.1632 1016.834 69.6174
"64" 23.1648 0 23.0208 1014.7646 79.1319
"65" 23.0132 12.0899 22.8507 1017.1861 69.1326
"66" 21.0992 29.1745 20.4444 1020.9063 77.7208
"67" 24.4097 22.9897 24.0361 1018.9417 72.3431
"68" 27.961 14.9273 27.3868 1006.1278 77.2986
"69" 26.5623 11.6025 25.8299 1010.2701 84.1097
"70" 25.0094 28.8771 24.1028 1016.9757 70.1847
"71" 21.577 28.9955 21.3319 1018.1597 72.7938
"72" 26.4222 19.5347 25.8549 1013.141 80.3569
"73" 22.3504 22.353 22.1188 1023.0396 66.0771
"74" 23.3555 35.8057 23.1736 1022.3708 66.4569
"75" 26.695 18.7781 25.759 1015.6479 72.384
"76" 27.0967 21.5185 26.7139 1011.6896 71.9632
"77" 27.9203 17.0323 26.7118 1012.0618 74.9069
"78" 26.7278 27.8227 25.4382 1012.8299 63.1326
"79" 23.4779 32.132 23.6597 1020.9931 70.3708
"80" 23.4966 24.2248 22.9042 1015.8375 71.4514
"81" 22.036 22.2379 21.8847 1018.4056 69.4431
"82" 21.4427 29.292 21.2215 1018.7 74.8625
"83" 25.4403 15.3618 25.2313 1017.0181 59.4458
"84" 26.5074 25.3703 26.4507 1016.5431 76.9132
"85" 23.2163 21.8277 21.5986 1015.1035 53.4465
"86" 26.4373 20.8218 26.0938 1010.7264 83.8764
"87" 27.3385 39.3643 27.2292 1012.9069 74.6479
"88" 20.8677 28.962 20.1333 1024.1382 67.7882
"89" 21.7374 28.568 21.0521 1016.4118 72.7632
"90" 25.6483 36.0755 25.1111 1015.4438 65.0319
"91" 26.6643 34.4221 26.3181 1011.8604 62.3493
"92" 26.4525 31.4239 26.7104 1008.6132 72.15
"93" 29.0314 17.1448 27.691 1009.034 76.2208
"94" 23.4351 24.5585 22.6451 1015.3889 68.9729
"95" 26.5714 26.2755 26.534 1014.1 70.3632
"96" 27.8706 12.8574 27.3111 1011.9069 78.6653
"97" 27.5072 11.2064 27.1583 1011.3403 77.25
"98" 26.1058 31.1172 26.2563 1013.8694 68.8056
"99" 25.6653 35.6958 25.5653 1019.75 64.7965
"100" 21.8536 12.6116 21.5486 1018.916 59.0028
"101" 23.7671 21.1791 23.9604 1016.3063 65.5493
